"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-12-10 00:00","2013","12","10","00:00"
"2013-12-10 01:00","2013","12","10","01:00"
"2013-12-10 02:00","2013","12","10","02:00"
"2013-12-10 03:00","2013","12","10","03:00"
"2013-12-10 04:00","2013","12","10","04:00"
"2013-12-10 05:00","2013","12","10","05:00"
"2013-12-10 06:00","2013","12","10","06:00"
"2013-12-10 07:00","2013","12","10","07:00","-5.3","","-10.7","","66","","28","","26","","24.1","","100.47","","","","-13","","Mostly Cloudy"
"2013-12-10 08:00","2013","12","10","08:00","-5.7","","-12.1","","61","","29","","21","","24.1","","100.48","","","","-13","","NA"
"2013-12-10 09:00","2013","12","10","09:00","-6.2","","-13.4","","57","","27","","22","","24.1","","100.50","","","","-13","","NA"
"2013-12-10 10:00","2013","12","10","10:00","-6.7","","-14.1","","56","","27","","29","","24.1","","100.49","","","","-15","","Mostly Cloudy"
"2013-12-10 11:00","2013","12","10","11:00","-5.5","","-13.2","","55","","29","","26","","24.1","","100.43","","","","-13","","NA"
"2013-12-10 12:00","2013","12","10","12:00","-5.3","","-13.5","","53","","28","","31","","24.1","","100.38","","","","-14","","NA"
"2013-12-10 13:00","2013","12","10","13:00","-5.4","","-13.8","","52","","25","","30","","24.1","","100.32","","","","-14","","Mostly Cloudy"
"2013-12-10 14:00","2013","12","10","14:00","-4.4","","-14.4","","46","","24","","29","","24.1","","100.22","","","","-12","","NA"
"2013-12-10 15:00","2013","12","10","15:00","-4.0","","-13.2","","49","","27","","26","","24.1","","100.16","","","","-11","","NA"
"2013-12-10 16:00","2013","12","10","16:00","-4.0","","-12.0","","54","","26","","19","","24.1","","100.13","","","","-10","","Mostly Cloudy"
"2013-12-10 17:00","2013","12","10","17:00","-4.7","","-7.5","","81","","28","","24","","8.1","","100.17","","","","-12","","Snow Showers"
"2013-12-10 18:00","2013","12","10","18:00","-5.2","","-7.2","","86","","27","","30","","2.0","","100.28","","","","-13","","Snow Showers"
"2013-12-10 19:00","2013","12","10","19:00","-5.5","","-12.7","","57","","26","","38","","24.1","","100.37","","","","-15","","Blowing Snow"
"2013-12-10 20:00","2013","12","10","20:00","-5.9","","-13.1","","57","","25","","30","","24.1","","100.43","","","","-14","","Blowing Snow"
"2013-12-10 21:00","2013","12","10","21:00","-6.1","","-12.7","","60","","25","","24","","24.1","","100.49","","","","-14","","Blowing Snow"
