"Station Name","ST CATHARINES A"
"Province","ONTARIO"
"Latitude","43.20"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137287"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-01-09 20:00","2010","01","09","20:00","-13.7","","-16.6","","79","","22","","9","","24.1","","101.64","","","","-19","","Clear"
"2010-01-09 21:00","2010","01","09","21:00","-14.6","","-17.0","","82","","21","","9","","24.1","","101.65","","","","-20","","Clear"
"2010-01-09 22:00","2010","01","09","22:00"
"2010-01-09 23:00","2010","01","09","23:00"
"2010-01-10 00:00","2010","01","10","00:00"
"2010-01-10 01:00","2010","01","10","01:00"
"2010-01-10 02:00","2010","01","10","02:00"
"2010-01-10 03:00","2010","01","10","03:00"
"2010-01-10 04:00","2010","01","10","04:00"
"2010-01-10 05:00","2010","01","10","05:00"
"2010-01-10 06:00","2010","01","10","06:00"
"2010-01-10 07:00","2010","01","10","07:00","-13.9","","-16.2","","83","","24","","19","","19.3","","101.60","","","","-23","","Mainly Clear"
"2010-01-10 08:00","2010","01","10","08:00","-13.0","","-16.9","","72","","23","","15","","24.1","","101.59","","","","-20","","Mostly Cloudy"
"2010-01-10 09:00","2010","01","10","09:00","-11.3","","-13.8","","82","","24","","19","","24.1","","101.57","","","","-19","","Mainly Clear"
"2010-01-10 10:00","2010","01","10","10:00","-9.0","","-12.3","","77","","24","","13","","24.1","","101.59","","","","-15","","Mostly Cloudy"
"2010-01-10 11:00","2010","01","10","11:00","-7.4","","-12.5","","67","","24","","19","","24.1","","101.53","","","","-14","","Mainly Clear"
"2010-01-10 12:00","2010","01","10","12:00","-6.1","","-11.8","","64","","23","","19","","24.1","","101.41","","","","-13","","Mostly Cloudy"
"2010-01-10 13:00","2010","01","10","13:00","-5.3","","-10.1","","69","","24","","19","","24.1","","101.28","","","","-12","","Mainly Clear"
"2010-01-10 14:00","2010","01","10","14:00","-4.8","","-9.9","","67","","25","","19","","24.1","","101.20","","","","-11","","Mainly Clear"
"2010-01-10 15:00","2010","01","10","15:00","-4.2","","-9.4","","67","","24","","19","","24.1","","101.17","","","","-10","","Clear"
"2010-01-10 16:00","2010","01","10","16:00","-4.8","","-10.0","","67","","24","","19","","24.1","","101.16","","","","-11","","Clear"
